SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,21.9025,22.09,0.1875,0.07757505
Q9GZN7,ROGDI,Protein rogdi homolog,19.55,19.335,-0.215,0.077558248
Q9Y6B6,SAR1B,GTP-binding protein SAR1b,20.44,20.285,-0.155,0.077517116
Q9Y2D5,AKAP2,A-kinase anchor protein 2,21.01,21.17,0.16,0.077502179
Q96JJ7,TMX3,Protein disulfide-isomerase TMX3,22.45,22.29,-0.16,0.077502179
Q8TEA7,TBCK,TBC domain-containing protein kinase-like protein,17.58,17.5,-0.08,0.077502179
P07199,CENPB,Major centromere autoantigen B,19.6975,19.5675,-0.13,0.077360598
Q16795,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",23.1525,22.8925,-0.26,0.077360598
Q5ZPR3,CD276,CD276 antigen,19.9825,19.52,-0.4625,0.077316909
Q9Y639,NPTN,Neuroplastin,20.4525,20.2175,-0.235,0.077300703
Q13619,CUL4A,Cullin-4A,21.395,21.2675,-0.1275,0.077296722
Q9H7D0,DOCK5,Dedicator of cytokinesis protein 5,21.66,21.4975,-0.1625,0.0772881
P29016,CD1B,T-cell surface glycoprotein CD1b,19.955,19.24,-0.715,0.077165858
P09497,CLTB,Clathrin light chain B,21.9975,21.7475,-0.25,0.077157588
Q96MI6,PPM1M,Protein phosphatase 1M,18.0375,17.7825,-0.255,0.077139684
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,21.4825,21.3225,-0.16,0.077103334
O95870,ABHD16A,Abhydrolase domain-containing protein 16A,20.5325,20.3325,-0.2,0.077055461
P21926,CD9,CD9 antigen,24.23,23.085,-1.145,0.07702614
P51114,FXR1,Fragile X mental retardation syndrome-related protein 1,21.39,21.26,-0.13,0.076756263
Q16595,FXN,"Frataxin, mitochondrial",18.4225,18.3325,-0.09,0.076733873
P19447,ERCC3,TFIIH basal transcription factor complex helicase XPB subunit,18.12,18.0125,-0.1075,0.076674521
Q9UJX4,ANAPC5,Anaphase-promoting complex subunit 5,17.98,17.7975,-0.1825,0.076628063
P11387,TOP1,DNA topoisomerase 1,24.63,24.515,-0.115,0.076612259
Q8N1B4,VPS52,Vacuolar protein sorting-associated protein 52 homolog,19.93,19.755,-0.175,0.076607213
P78314,SH3BP2,SH3 domain-binding protein 2,19.14,18.9725,-0.1675,0.076507086
P35240,NF2,Merlin,17.8575,17.5925,-0.265,0.07648462
Q6ZV73,FGD6,"FYVE, RhoGEF and PH domain-containing protein 6",17.875,17.4425,-0.4325,0.076293139
Q9UMX0,UBQLN1,Ubiquilin-1,21.8825,21.615,-0.2675,0.07627996
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",23.2175,23.0525,-0.165,0.076202069
Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,22.64,22.4325,-0.2075,0.076164077
P42858,HTT,Huntingtin,22.2375,22.03,-0.2075,0.076164077
Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,21.9675,21.8375,-0.13,0.076151519
Q9Y5J7,TIMM9,Mitochondrial import inner membrane translocase subunit Tim9,19.6175,19.4075,-0.21,0.076115853
Q9H553,ALG2,"Alpha-1,3/1,6-mannosyltransferase ALG2",20.4775,20.345,-0.1325,0.076047926
Q96EQ0,SGTB,Small glutamine-rich tetratricopeptide repeat-containing protein beta,21.43,21.2975,-0.1325,0.076047926
Q9NSI8,SAMSN1,SAM domain-containing protein SAMSN-1,21.06,21.7125,0.6525,0.075979142
Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1,17.25,16.815,-0.435,0.075955125
Q6ZRS2,SRCAP,Helicase SRCAP,19.0925,18.9175,-0.175,0.075939641
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,18.92,18.71,-0.21,0.075883988
Q6DD88,ATL3,Atlastin-3,23.52,23.41,-0.11,0.075826491
Q8WZ42,TTN,Titin,21.3375,21.2825,-0.055,0.075826491
Q9UHD8,42255,Septin-9,23.6025,23.485,-0.1175,0.075820369
Q14149,MORC3,MORC family CW-type zinc finger protein 3,22.22,22.065,-0.155,0.075815937
Q6P589,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,19.8175,19.6225,-0.195,0.075815377
Q8WVR3,C7orf43,Uncharacterized protein C7orf43,17.8475,17.7125,-0.135,0.075752285
Q9Y6E2,BZW2,Basic leucine zipper and W2 domain-containing protein 2,21.915,21.7175,-0.1975,0.075711639
O95202,LETM1,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",22.61,22.435,-0.175,0.075605672
Q8N335,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein,21.6775,21.5175,-0.16,0.075506176
P28062,PSMB8,Proteasome subunit beta type-8,23.34,23.07,-0.27,0.075471639
Q14684,RRP1B,Ribosomal RNA processing protein 1 homolog B,19.965,19.6525,-0.3125,0.075423943
Q8WV99,ZFAND2B,AN1-type zinc finger protein 2B,17.9825,17.855,-0.1275,0.075410449
Q15646,OASL,2'-5'-oligoadenylate synthase-like protein,19.67,19.3325,-0.3375,0.075393043
Q9Y692,GMEB1,Glucocorticoid modulatory element-binding protein 1,18.3625,18.225,-0.1375,0.075285392
Q9Y6M1,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2,20.425,20.34,-0.085,0.075253085
Q13136,PPFIA1,Liprin-alpha-1,21.5975,21.4125,-0.185,0.075226184
Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD,19.965,19.895,-0.07,0.075188044
O43567,RNF13,E3 ubiquitin-protein ligase RNF13,21.6,21.3225,-0.2775,0.075060051
Q9NS86,LANCL2,LanC-like protein 2,19.04,18.845,-0.195,0.075008141
Q96BW5,PTER,Phosphotriesterase-related protein,19.48,19.35,-0.13,0.07494084
Q9UHG3,PCYOX1,Prenylcysteine oxidase 1,20.845,20.7525,-0.0925,0.074927124
Q9UHL4,DPP7,Dipeptidyl peptidase 2,19.815,19.62,-0.195,0.07473891
Q9H078,CLPB,Caseinolytic peptidase B protein homolog,20.4275,20.2775,-0.15,0.074612346
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10,18.9225,18.3975,-0.525,0.074603058
Q96GZ6,SLC41A3,Solute carrier family 41 member 3,16.7825,16.6825,-0.1,0.074498559
Q8N3D4,EHBP1L1,EH domain-binding protein 1-like protein 1,22.475,22.2825,-0.1925,0.074445528
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,24.0925,23.83,-0.2625,0.074417274
Q15427,SF3B4,Splicing factor 3B subunit 4,20.045,19.9275,-0.1175,0.074337668
Q9H9A6,LRRC40,Leucine-rich repeat-containing protein 40,20.8125,20.695,-0.1175,0.074337668
Q8NHX9,TPCN2,Two pore calcium channel protein 2,17.4375,17.3575,-0.08,0.074306513
Q8NBI5,SLC43A3,Solute carrier family 43 member 3,22.5325,22.2675,-0.265,0.074299106
Q9HAS0,C17orf75,Protein Njmu-R1,20.17,20.055,-0.115,0.074291385
Q96IV0,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,19.12,19.03,-0.09,0.074207709
Q96HS1,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",19.65,19.495,-0.155,0.074111631
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14,18.595,18.1825,-0.4125,0.07384097
P55789,GFER,FAD-linked sulfhydryl oxidase ALR,18.615,18.4375,-0.1775,0.073806954
Q86TI2,DPP9,Dipeptidyl peptidase 9,21.0375,20.85,-0.1875,0.073792786
Q96HD1,CRELD1,Cysteine-rich with EGF-like domain protein 1,19.255,19.065,-0.19,0.073752156
Q86WN1,FCHSD1,F-BAR and double SH3 domains protein 1,19.285,19.1,-0.185,0.073729966
Q9NQC3,RTN4,Reticulon-4,23.245,23.12,-0.125,0.073719904
Q5HYW2,NHSL2,NHS-like protein 2,19.2475,19.1225,-0.125,0.073719904
P28070,PSMB4,Proteasome subunit beta type-4,22.115,21.99,-0.125,0.073719904
Q96MU7,YTHDC1,YTH domain-containing protein 1,20.5525,20.425,-0.1275,0.073520397
A0FGR8,ESYT2,Extended synaptotagmin-2,22.6325,22.43,-0.2025,0.073504826
Q9Y2U8,LEMD3,Inner nuclear membrane protein Man1,20.7925,20.58,-0.2125,0.073495172
P54136,RARS,"Arginine--tRNA ligase, cytoplasmic",23.6825,23.52,-0.1625,0.073413224
P46976,GYG1,Glycogenin-1,21.73,21.5325,-0.1975,0.073348709
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,18.825,18.145,-0.68,0.073148366
O75558,STX11,Syntaxin-11,23.1525,23.0875,-0.065,0.073121988
O60725,ICMT,Protein-S-isoprenylcysteine O-methyltransferase,18.815,18.6575,-0.1575,0.07304554
Q86WA9,SLC26A11,Sodium-independent sulfate anion transporter,19.0325,18.425,-0.6075,0.072921328
O43156,TTI1,TELO2-interacting protein 1 homolog,17.7275,17.5775,-0.15,0.072790205
P29373,CRABP2,Cellular retinoic acid-binding protein 2,21.72,20.1975,-1.5225,0.07276479
Q8IWA4,MFN1,Mitofusin-1,19.125,18.83,-0.295,0.072636556
P49711,CTCF,Transcriptional repressor CTCF,21.3475,21.2075,-0.14,0.072573846
P13716,ALAD,Delta-aminolevulinic acid dehydratase,21.735,21.5375,-0.1975,0.072559837
Q15722,LTB4R,Leukotriene B4 receptor 1,19.7425,19.6425,-0.1,0.072448198
P13693,TPT1,Translationally-controlled tumor protein,24.8925,24.5875,-0.305,0.072337604
Q9BZJ0,CRNKL1,Crooked neck-like protein 1,22.05,21.89,-0.16,0.072303881
Q9UDW1,UQCR10,Cytochrome b-c1 complex subunit 9,21.3725,21.195,-0.1775,0.072179252
O95976,IGSF6,Immunoglobulin superfamily member 6,18.8,18.545,-0.255,0.072100558
Q96R05,RBP7,Retinoid-binding protein 7,19.84,19.7025,-0.1375,0.072032557
Q9NX55,HYPK,Huntingtin-interacting protein K,18.7175,18.48,-0.2375,0.071990441
Q9UKD1,GMEB2,Glucocorticoid modulatory element-binding protein 2,19.175,19.02,-0.155,0.071977184
Q14151,SAFB2,Scaffold attachment factor B2,22.035,21.885,-0.15,0.071877948
Q9BZ23,PANK2,"Pantothenate kinase 2, mitochondrial",19.6225,19.4325,-0.19,0.071762914
O60861,GAS7,Growth arrest-specific protein 7,20.01,19.885,-0.125,0.071750172
Q16775,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",20.445,20.1875,-0.2575,0.071719694
Q86YS6,RAB43,Ras-related protein Rab-43,19.9475,19.7625,-0.185,0.071631596
Q9NXH8,TOR4A,Torsin-4A,21.92,21.81,-0.11,0.071591299
Q9BQE9,BCL7B,B-cell CLL/lymphoma 7 protein family member B,18.15,17.975,-0.175,0.07158922
P60981,DSTN,Destrin,22.175,21.94,-0.235,0.071551723
Q9Y2H0,DLGAP4,Disks large-associated protein 4,21.54,20.93,-0.61,0.071537467
P31749,AKT1,RAC-alpha serine/threonine-protein kinase,20.9825,20.8225,-0.16,0.07150178
Q6VN20,RANBP10,Ran-binding protein 10,18.3775,18.24,-0.1375,0.071489445
Q96HY7,DHTKD1,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",21.775,21.6125,-0.1625,0.071470159
Q6DKK2,TTC19,"Tetratricopeptide repeat protein 19, mitochondrial",19.0925,18.905,-0.1875,0.071458058
Q86W42,THOC6,THO complex subunit 6 homolog,20.805,20.5875,-0.2175,0.071188108
Q9Y450,HBS1L,HBS1-like protein,20.28,20.1275,-0.1525,0.071123382
Q02543,RPL18A,60S ribosomal protein L18a,24.04,23.8175,-0.2225,0.071073967
Q9UHW9,SLC12A6,Solute carrier family 12 member 6,21.7975,21.4875,-0.31,0.071015319
P10398,ARAF,Serine/threonine-protein kinase A-Raf,21.6525,21.45,-0.2025,0.071001907
Q9H1A4,ANAPC1,Anaphase-promoting complex subunit 1,19.5375,19.3475,-0.19,0.070909285
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8,21.5375,21.305,-0.2325,0.070837108
Q8IY17,PNPLA6,Neuropathy target esterase,22.3375,22.1125,-0.225,0.07071121
Q6PJ69,TRIM65,Tripartite motif-containing protein 65,17.8775,17.7225,-0.155,0.070694521
Q14BN4,SLMAP,Sarcolemmal membrane-associated protein,20.2325,20.135,-0.0975,0.070691989
Q3L8U1,CHD9,Chromodomain-helicase-DNA-binding protein 9,17.9,17.2225,-0.6775,0.070622959
P05090,APOD,Apolipoprotein D,20.0825,19.925,-0.1575,0.070562049
Q9BSJ8,ESYT1,Extended synaptotagmin-1,24.05,23.975,-0.075,0.070508181
Q13547,HDAC1,Histone deacetylase 1,22.6925,22.5425,-0.15,0.070508181
P32320,CDA,Cytidine deaminase,20.795,20.6525,-0.1425,0.070371497
O95759,TBC1D8,TBC1 domain family member 8,17.48,17.2525,-0.2275,0.070294769
P62487,POLR2G,DNA-directed RNA polymerase II subunit RPB7,19.29,19.12,-0.17,0.070283685
Q8IYS2,KIAA2013,Uncharacterized protein KIAA2013,18.4275,18.2625,-0.165,0.070175878
Q9HC98,NEK6,Serine/threonine-protein kinase Nek6,21.4325,20.7275,-0.705,0.070021656
Q8IXH7,NELFCD,Negative elongation factor C/D,19.4925,19.38,-0.1125,0.069898892
Q9UM07,PADI4,Protein-arginine deiminase type-4,22.605,22.5,-0.105,0.069836703
Q8IYJ3,SYTL1,Synaptotagmin-like protein 1,19.9175,19.745,-0.1725,0.069806724
P10606,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",23.1875,23.015,-0.1725,0.069806724
Q96SB4,SRPK1,SRSF protein kinase 1,16.8125,16.73,-0.0825,0.069798154
Q9Y5S1,TRPV2,Transient receptor potential cation channel subfamily V member 2,20.7475,20.595,-0.1525,0.069797342
P57764,GSDMD,Gasdermin-D,21.1825,21.08,-0.1025,0.069782872
P54252,ATXN3,Ataxin-3,19.6125,19.455,-0.1575,0.069733048
Q14562,DHX8,ATP-dependent RNA helicase DHX8,21.26,21.06,-0.2,0.06962271
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",22.335,22.125,-0.21,0.069603467
Q9H981,ACTR8,Actin-related protein 8,19.4025,18.9825,-0.42,0.069486833
Q6KCM7,SLC25A25,Calcium-binding mitochondrial carrier protein SCaMC-2,18.915,18.4225,-0.4925,0.069384027
Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1,17.6625,17.4675,-0.195,0.069339818
Q96BP3,PPWD1,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,20.4275,20.29,-0.1375,0.069314504
Q14643,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",19.5425,19.2925,-0.25,0.069283212
Q9NVU7,SDAD1,Protein SDA1 homolog,20.52,20.29,-0.23,0.069244934
Q9Y2V7,COG6,Conserved oligomeric Golgi complex subunit 6,17.76,17.5775,-0.1825,0.069237707
P41226,UBA7,Ubiquitin-like modifier-activating enzyme 7,22,21.91,-0.09,0.069136869
Q99757,TXN2,"Thioredoxin, mitochondrial",20.08,19.9075,-0.1725,0.069115255
Q92520,FAM3C,Protein FAM3C,21.105,20.8325,-0.2725,0.06911281
Q13243,SRSF5,Serine/arginine-rich splicing factor 5,20.8475,20.6175,-0.23,0.069050412
Q96T51,RUFY1,RUN and FYVE domain-containing protein 1,22.535,22.4,-0.135,0.068995705
Q9H9H4,VPS37B,Vacuolar protein sorting-associated protein 37B,19.9025,19.66,-0.2425,0.068960656
P13727,PRG2,Bone marrow proteoglycan,22.2475,22.505,0.2575,0.068928851
Q9ULC5,ACSL5,Long-chain-fatty-acid--CoA ligase 5,22.57,22.7125,0.1425,0.068851789
Q9NRG7,SDR39U1,Epimerase family protein SDR39U1,18.9575,18.72,-0.2375,0.06870986
Q9NZQ7,CD274,Programmed cell death 1 ligand 1,20.7325,21.0775,0.345,0.068682905
Q99828,CIB1,Calcium and integrin-binding protein 1,18.2675,18.0375,-0.23,0.068661283
Q9NZV5,SEPN1,Selenoprotein N,15.905,15.2525,-0.6525,0.068651882
Q9H2F3,HSD3B7,3 beta-hydroxysteroid dehydrogenase type 7,19.1475,18.8325,-0.315,0.068592299
P09417,QDPR,Dihydropteridine reductase,21.0875,20.99,-0.0975,0.068527839
Q99816,TSG101,Tumor susceptibility gene 101 protein,21.875,21.74,-0.135,0.068430904
Q9Y282,ERGIC3,Endoplasmic reticulum-Golgi intermediate compartment protein 3,20.06,19.9425,-0.1175,0.06838615
A6NFI3,ZNF316,Zinc finger protein 316,18.0875,17.925,-0.1625,0.068354555
Q9NZ52,GGA3,ADP-ribosylation factor-binding protein GGA3,18.665,18.4825,-0.1825,0.06831058
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A',23,22.8125,-0.1875,0.068240175
P49585,PCYT1A,Choline-phosphate cytidylyltransferase A,22.065,21.9275,-0.1375,0.068225652
Q8NCW5,APOA1BP,NAD(P)H-hydrate epimerase,21.015,20.8775,-0.1375,0.068225652
Q9H0W9,C11orf54,Ester hydrolase C11orf54,20.6175,20.4175,-0.2,0.068078847
Q9NR12,PDLIM7,PDZ and LIM domain protein 7,21.9025,21.7025,-0.2,0.068078847
Q8WUA7,TBC1D22A,TBC1 domain family member 22A,18.9825,18.7775,-0.205,0.068068585
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,20.8925,20.74,-0.1525,0.068027161
Q2TB10,ZNF800,Zinc finger protein 800,21.915,21.6,-0.315,0.067969673
Q02818,NUCB1,Nucleobindin-1,23.1325,22.845,-0.2875,0.067952791
Q9UIB8,CD84,SLAM family member 5,22.7225,21.795,-0.9275,0.067850281
P50914,RPL14,60S ribosomal protein L14,24.3025,24.0975,-0.205,0.067823515
Q8NDZ4,C3orf58,Deleted in autism protein 1,19.225,19.015,-0.21,0.067736119
Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,20.535,20.4425,-0.0925,0.067724687
O15258,RER1,Protein RER1,21.1375,20.9425,-0.195,0.067715387
Q86U86,PBRM1,Protein polybromo-1,21.6125,21.35,-0.2625,0.06770809
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,22.7675,22.5375,-0.23,0.067493254
Q9NYP7,ELOVL5,Elongation of very long chain fatty acids protein 5,19.3425,18.915,-0.4275,0.067443136
P22234,PAICS,Multifunctional protein ADE2,23.3375,23.165,-0.1725,0.067385057
Q92570,NR4A3,Nuclear receptor subfamily 4 group A member 3,20.2225,19.7275,-0.495,0.067235216
Q9HA64,FN3KRP,Ketosamine-3-kinase,19.1575,18.995,-0.1625,0.067184344
P43250,GRK6,G protein-coupled receptor kinase 6,20.4325,20.2675,-0.165,0.067151109
Q9UBH6,XPR1,Xenotropic and polytropic retrovirus receptor 1,17.9325,17.7175,-0.215,0.067125726
Q86TM6,SYVN1,E3 ubiquitin-protein ligase synoviolin,20.035,19.8,-0.235,0.067080514
O60331,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,18.975,18.6425,-0.3325,0.067040418
Q86WB0,ZC3HC1,Nuclear-interacting partner of ALK,19.3925,19.2725,-0.12,0.066991424
Q8NFH4,NUP37,Nucleoporin Nup37,20.215,20.0375,-0.1775,0.066955505
Q9NZJ9,NUDT4,Diphosphoinositol polyphosphate phosphohydrolase 2,18.165,18.0475,-0.1175,0.066893904
Q8NEJ9,NGDN,Neuroguidin,16.555,16.01,-0.545,0.066893778
Q9UMX5,NENF,Neudesin,20.375,20.2725,-0.1025,0.066842835
Q8N766,EMC1,ER membrane protein complex subunit 1,22.3375,22.0525,-0.285,0.066822907
Q7L2E3,DHX30,Putative ATP-dependent RNA helicase DHX30,21.095,20.865,-0.23,0.066714063
P11766,ADH5,Alcohol dehydrogenase class-3,24.105,23.945,-0.16,0.06667829
O60826,CCDC22,Coiled-coil domain-containing protein 22,21.9725,21.835,-0.1375,0.066590839
Q9H0E2,TOLLIP,Toll-interacting protein,21.35,21.2125,-0.1375,0.066590839
Q3T906,GNPTAB,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta,18.7225,18.595,-0.1275,0.066562959
O15320,CTAGE5,cTAGE family member 5,20.81,20.625,-0.185,0.066520345
Q9Y4B6,VPRBP,Protein VPRBP,19.9175,19.685,-0.2325,0.066457381
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,20.6475,20.5175,-0.13,0.066428111
P12814,ACTN1,Alpha-actinin-1,26.815,26.4875,-0.3275,0.06636722
Q00537,CDK17,Cyclin-dependent kinase 17,20.235,20.095,-0.14,0.066275603
Q15637,SF1,Splicing factor 1,22.3375,22.1625,-0.175,0.066212479
P60660,MYL6,Myosin light polypeptide 6,25.72,25.585,-0.135,0.066169529
O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,20.4775,20.285,-0.1925,0.066123441
P30043,BLVRB,Flavin reductase (NADPH),24.09,23.8625,-0.2275,0.066116855
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,21.745,21.6075,-0.1375,0.066045529
Q96ST2,IWS1,Protein IWS1 homolog,21.01,20.8525,-0.1575,0.065996334
O15229,KMO,Kynurenine 3-monooxygenase,21.18,20.8775,-0.3025,0.065946363
Q15388,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,19.5975,19.2975,-0.3,0.0659319
Q15459,SF3A1,Splicing factor 3A subunit 1,23.755,23.63,-0.125,0.065821901
P35914,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",21.1375,20.9975,-0.14,0.0657495
Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,19.9425,19.6375,-0.305,0.065700572
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2,20.3,20.135,-0.165,0.065636433
Q9H173,SIL1,Nucleotide exchange factor SIL1,18.035,17.4125,-0.6225,0.065505934
Q96L92,SNX27,Sorting nexin-27,21.8725,21.7225,-0.15,0.065473527
Q6ZS81,WDFY4,WD repeat- and FYVE domain-containing protein 4,23.3875,23.1475,-0.24,0.065380406
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial",26.3875,26.915,0.5275,0.065365848
Q08426,EHHADH,Peroxisomal bifunctional enzyme,19.9075,19.81,-0.0975,0.065275496
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,22.5675,22.33,-0.2375,0.065238582
Q9HCP0,CSNK1G1,Casein kinase I isoform gamma-1,21.27,20.7875,-0.4825,0.06522696
Q9H490,PIGU,Phosphatidylinositol glycan anchor biosynthesis class U protein,19.2875,19.1475,-0.14,0.065223244
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,21.6625,21.22,-0.4425,0.065213147
P53701,HCCS,Cytochrome c-type heme lyase,20.6875,20.5275,-0.16,0.065066983
Q9Y3A6,TMED5,Transmembrane emp24 domain-containing protein 5,21.8775,21.7,-0.1775,0.064991753
Q96QR8,PURB,Transcriptional activator protein Pur-beta,20.79,20.6575,-0.1325,0.064926235
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40,17.975,17.67,-0.305,0.06492434
Q969M3,YIPF5,Protein YIPF5,18.9375,18.7725,-0.165,0.064878609
Q9UHB6,LIMA1,LIM domain and actin-binding protein 1,19.7225,19.295,-0.4275,0.064791472
Q8NHP8,PLBD2,Putative phospholipase B-like 2,21.275,20.755,-0.52,0.06478796
Q14195,DPYSL3,Dihydropyrimidinase-related protein 3,20.01,19.745,-0.265,0.064779307
Q9UKJ3,GPATCH8,G patch domain-containing protein 8,20.375,20.1675,-0.2075,0.064707236
Q9Y6D5,ARFGEF2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,20.4275,20.2175,-0.21,0.064696842
P09758,TACSTD2,Tumor-associated calcium signal transducer 2,17.96,16.995,-0.965,0.064484597
Q9NW15,ANO10,Anoctamin-10,20.3775,20.31,-0.0675,0.064471509
Q9UK41,VPS28,Vacuolar protein sorting-associated protein 28 homolog,20.015,19.8775,-0.1375,0.064408612
O00754,MAN2B1,Lysosomal alpha-mannosidase,21.8225,21.51,-0.3125,0.064369309
P56524,HDAC4,Histone deacetylase 4,18.5,18.3425,-0.1575,0.06433283
Q06210,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,22.95,22.85,-0.1,0.064212432
P49796,RGS3,Regulator of G-protein signaling 3,18.9075,18.795,-0.1125,0.06419969
Q9Y679,AUP1,Ancient ubiquitous protein 1,20.9675,20.74,-0.2275,0.064123564
P53667,LIMK1,LIM domain kinase 1,21.5425,21.2525,-0.29,0.064098294
P43307,SSR1,Translocon-associated protein subunit alpha,22.1475,21.985,-0.1625,0.064059746
Q8ND76,CCNY,Cyclin-Y,19.0075,18.8275,-0.18,0.064046776
Q9Y2R0,COA3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",17.7625,17.485,-0.2775,0.0639751
Q13895,BYSL,Bystin,18.955,18.595,-0.36,0.06396713
Q9BW60,ELOVL1,Elongation of very long chain fatty acids protein 1,19.1325,18.795,-0.3375,0.063927836
Q9BRJ2,MRPL45,"39S ribosomal protein L45, mitochondrial",19.1075,18.95,-0.1575,0.06391674
Q92733,PRCC,Proline-rich protein PRCC,18.8425,18.6075,-0.235,0.063905437
Q7L1W4,LRRC8D,Volume-regulated anion channel subunit LRRC8D,18.8025,18.685,-0.1175,0.063905437
Q9UBY8,CLN8,Protein CLN8,19.8075,19.2875,-0.52,0.063871927
Q01196,RUNX1,Runt-related transcription factor 1,19.6325,19.57,-0.0625,0.063840836
Q9NQ75,CASS4,Cas scaffolding protein family member 4,20.165,19.5875,-0.5775,0.0638342
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,23.2275,23.1325,-0.095,0.063774952
Q15154,PCM1,Pericentriolar material 1 protein,21.85,21.7075,-0.1425,0.063774952
Q96N96,SPATA13,Spermatogenesis-associated protein 13,20.515,20.24,-0.275,0.063726172
Q14164,IKBKE,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,18.225,17.88,-0.345,0.063658906
P60604,UBE2G2,Ubiquitin-conjugating enzyme E2 G2,20.18,19.7925,-0.3875,0.063541075
Q9BWJ5,SF3B5,Splicing factor 3B subunit 5,19.4075,19.2175,-0.19,0.063488972
